;;Categorical;Numerical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Numerical;Numerical
;;Mean number of distributions per year in the collection;"Assessment of germi6tion of the base sample; 1 being the best and 4 the worst";Calses de germinacion;Cantidad de semillas disonibles;Numero de inventario;Cava y Bolsa;Genus and species;Id ubicacion del centro de investigacion donde se encuentra;Years in the collection;Current age of the base sample used for regeneration
ARN;PATH;Use/yr;Estado de Disponibilidad;Germinacion;Cantidad de Semillas;Numero_De_Inventario;Cava;Especie;Id del Centro;Longevidad;Ultimo Monitoreo
BGVCOL15061286;171840;98;5;3;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061286;171820;9.84;5;3;2;2;-20°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061287;171840;7.27;5;3;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061287;171840;4.28;5;3;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061287;171820;3.39;5;3;2;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061288;171840;3.12;15;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061288;171840;2.22;5;3;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061288;171820;5.83;15;3;2;3;-20°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061289;171840;3.2;15;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061289;171840;9.25;5;1;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061289;171840;0.65;5;1;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061290;171840;0.58;15;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061290;171840;5.8;5;2;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061290;171840;59;5;1;1;3;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061290;171820;5.14;15;3;2;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061291;171840;7.14;5;3;3;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061291;171840;5.1;5;3;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061291;171840;1.31;5;3;3;3;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061291;171820;1.66;15;3;2;4;-20°C B-1;Solanum tuberosum subsp. andigena;0;2;1
