,Accession_id,Inventory_id,ARN,Especie,Cantidad_De_Semilla,Estado_De_Disponibilidad,Numero_De_Inventario,Cava,Fecha_De_Origen,Fecha_ultima_Prueba,Porcentaje_Normal,Fecha_De_Entrada_Cava
6042,8091,41469,BGVCOL11030891,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,2.0,0.0
6043,8091,41470,BGVCOL11030891,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
6044,8092,41471,BGVCOL11030892,Glycine max,1,5,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
6045,8092,41472,BGVCOL11030892,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-09-01 00:00:00,3.0,0.0
6046,8093,41473,BGVCOL11030893,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
6047,8093,41474,BGVCOL11030893,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-09-01 00:00:00,3.0,0.0
6048,8094,41475,BGVCOL11030894,Glycine max,1,13,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
6049,8094,41476,BGVCOL11030894,Glycine max,1,8,2.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,2.0,0.0
6050,8094,41477,BGVCOL11030894,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2002-02-12 00:00:00,3.0,0.0
6051,8095,41478,BGVCOL11030895,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
6052,8095,41479,BGVCOL11030895,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
6053,8096,41480,BGVCOL11030896,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
6054,8096,41481,BGVCOL11030896,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
6055,8098,41483,BGVCOL11030898,Glycine max,1,8,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
6056,8098,41484,BGVCOL11030898,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
6057,8099,41485,BGVCOL11030899,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2006-12-21 00:00:00,3.0,0.0
6058,8099,41486,BGVCOL11030899,Glycine max,1,5,2.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
6059,8099,41487,BGVCOL11030899,Glycine max,2,8,3.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,2.0,0.0
